net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IX,MRN3,40.4256,15.7296,0.772,17,Ucr,100,SL,40.0258219406742,45.34036409810048
IT,MRNO,46.6536,11.1544,0.341,3,Al,100,SL,167.230641945985,79.42182924486718
IT,MRR,44.0641,11.6033,0.369,6,Ssr,100,SL,65.953442340497,5.076233726179496
IT,MRT,40.7901,14.7529,0.164,12,Cr,210,ACL,12.4750000733047,39.87762385029872
IT,MRV,40.3613,15.8265,0.745,12,Cr,100,SL,36.1990561133339,10.799829346353585
IT,MRZ,44.3614,11.1901,0.456,6,Ssr,100,SL,93.8517401142389,5.782700951558562
IT,MSA,37.7563,12.5156,0.082,16,Ccr,230,GL,4.15193682183483,153.37900552398145
IT,MSC,42.5268,13.3508,1.335,6,Ssr,100,SL,57.4801191202478,7.937632885493663
IT,MSR,39.0768,16.7897,0.458,13,Ir,100,SL,18.3758771225676,7.998867677744418
IT,MST,37.9261,14.3635,0.921,6,Ssr,100,SL,9.82472377074938,11.461420003021312
IT,MTC,41.4908,13.815,0.507,12,Cr,100,SL,27.9264819294282,0.5619521855151947
IT,MTCL,42.9939,12.9994,0.66,12,Cr,300,FL,78.9639268634098,48.81389189125701
IT,MTGG,43.1255,13.5418,0.384,17,Ucr,100,SL,23.2210927709239,8.577953731757644
IT,MTL,43.2494,13.0083,0.376,3,Al,100,SL,53.2868922716349,5.181868984203902
IT,MTPR,40.7949,14.0551,0.089,11,Pr,100,SL,0.715148976640974,4.450863026681461
IT,MTR,42.524,13.2448,0.974,6,Ssr,100,SL,65.2306388737994,21.91986635562828
IT,MTV,43.5333,11.5585,0.151,3,Al,100,SL,101.673297507749,7.020369904580591
IT,MTVA,45.1579,10.7849,0.035,3,Al,100,SL,138.568988437109,48.79758981119324
IT,MVB,42.9619,12.257,0.363,6,Ssr,100,SL,90.578567193413,14.427150658898848
IT,MVMN,42.5809,13.6233,0.317,3,Al,210,ACL,34.7405243121037,17.156090821794493
IT,MVO,42.5812,13.6246,0.386,3,Al,100,SL,34.6354514481981,11.861235555188967
IT,MZR,37.6536,12.6113,0.029,16,Ccr,100,SL,1.40888279149091,14.981750133981082
